Gender,Age,stress,heartbeat,anxiety,sleep,concentration,sadness,irritation,isolation,headaches,illness,weight,workload,competition,confidence_performance,confidence_subjects,activities,attendance,teacher_diff,work_env,home_env,relationships,relaxation,stresstype
0,18,3,2,2,3,1,1,4,1,3,1,2,2,3,5,4,4,1,4,2,3,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,5,2,2,2,1,1,1,1,2,1,1,5,2,1,1,1,4,3,2,1,2,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,4,4,3,5,3,5,2,2,2,3,3,1,2,3,2,2,2,3,4,2,3,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,3,2,1,1,1,3,3,4,5,5,3,2,1,4,4,1,2,4,3,3,3,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,5,4,4,2,1,2,1,3,1,3,1,1,3,1,3,5,3,3,2,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,18,1,1,4,4,1,2,1,2,3,3,2,5,5,5,5,3,3,5,5,5,5,5,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,3,4,1,4,3,3,2,4,2,4,1,1,3,1,2,2,2,1,2,1,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,3,4,2,2,1,2,3,1,2,3,1,1,4,3,3,3,4,5,3,3,3,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,1,2,2,4,5,5,4,5,1,5,2,5,4,4,1,1,3,2,3,1,4,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,2,3,3,2,1,1,1,2,1,1,1,1,1,3,4,3,4,3,3,3,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,2,2,2,3,3,3,4,3,2,3,3,2,2,3,1,3,5,4,3,3,5,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,5,5,3,4,1,1,2,1,3,4,2,1,3,5,1,4,3,5,5,5,5,5,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,1,1,2,3,3,3,2,4,3,3,2,1,1,3,1,1,3,4,3,2,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,3,4,1,3,3,3,2,1,4,3,3,1,3,5,5,3,3,5,3,3,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,3,4,2,4,5,5,4,1,4,5,3,5,2,5,5,1,3,3,5,5,5,2,Distress (Negative Stress) - Stress that causes anxiety and impairs well-being.
0,21,4,4,4,4,1,2,3,1,5,3,2,1,2,2,2,2,2,3,1,2,1,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,3,2,2,2,3,3,3,5,3,5,2,1,2,4,4,1,4,3,3,3,1,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,4,4,2,2,5,2,5,3,5,1,1,5,2,1,3,1,2,1,4,3,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,14,2,2,1,4,3,2,5,2,3,2,1,2,3,3,1,2,4,4,2,4,5,5,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,2,3,1,2,3,3,2,4,2,4,2,3,1,1,2,1,1,1,1,2,1,2,No Stress - Currently experiencing minimal to no stress.
0,19,5,4,3,4,4,2,3,3,4,4,3,3,2,1,5,1,2,2,5,2,3,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,17,3,3,4,4,2,1,5,4,4,4,2,4,3,2,3,4,3,2,2,2,3,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,4,3,3,1,4,2,4,2,4,1,3,2,2,2,1,2,2,1,1,3,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,4,4,2,4,5,4,4,4,5,4,2,4,4,3,3,2,5,4,3,4,3,4,Distress (Negative Stress) - Stress that causes anxiety and impairs well-being.
1,19,5,4,3,4,1,4,2,4,1,2,3,3,1,1,1,1,3,3,1,1,2,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,36,3,2,1,1,5,5,4,4,5,3,3,4,4,3,4,3,3,2,2,2,4,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,3,2,4,3,5,2,1,2,2,3,4,1,2,3,1,1,3,2,2,4,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,3,4,4,1,4,4,4,5,3,4,2,4,5,1,2,3,4,1,1,1,5,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,3,2,1,2,4,2,3,2,1,3,1,3,4,1,4,3,5,2,2,2,5,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,4,2,3,4,3,3,2,2,5,3,4,1,1,2,4,3,3,1,2,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,5,4,2,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,4,3,3,3,4,3,2,1,1,3,4,3,4,2,3,3,3,3,1,3,4,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,3,4,2,1,2,2,1,1,1,1,3,1,1,2,3,1,3,2,2,2,1,1,No Stress - Currently experiencing minimal to no stress.
1,19,4,4,3,5,5,5,5,5,5,5,3,5,5,5,5,2,2,5,5,5,5,5,Distress (Negative Stress) - Stress that causes anxiety and impairs well-being.
0,20,1,1,2,1,2,3,2,2,1,2,1,2,1,1,2,4,3,3,1,2,2,1,No Stress - Currently experiencing minimal to no stress.
0,22,5,2,2,2,2,1,2,3,2,2,2,1,1,1,2,5,5,1,2,2,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,4,2,2,2,2,5,2,2,2,2,2,1,1,1,3,4,2,2,3,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,4,5,4,2,2,5,1,2,2,3,2,3,2,5,2,1,3,2,1,3,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,3,2,2,2,2,3,2,2,2,4,1,4,2,3,2,5,5,2,2,3,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,18,4,2,5,2,3,3,2,2,2,1,3,3,2,2,2,3,5,2,2,2,2,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,28,2,2,1,2,2,2,3,2,3,1,3,1,2,1,1,4,5,3,2,2,2,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,3,4,2,3,3,2,3,3,2,2,5,4,3,2,2,2,5,4,3,2,4,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,4,3,2,1,4,4,2,2,2,4,5,1,2,1,1,5,1,1,2,5,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,4,4,4,4,2,2,2,1,2,1,4,3,2,4,3,1,3,1,2,5,3,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,5,5,2,4,2,3,4,1,4,1,2,1,1,1,2,5,5,4,1,5,5,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,3,2,1,5,4,2,1,2,3,2,1,2,3,2,4,4,3,1,5,1,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,4,2,3,2,3,3,4,4,5,4,3,3,3,1,1,5,4,3,3,2,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,41,2,1,4,2,4,3,1,1,1,3,2,3,3,1,2,2,4,1,2,5,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,18,3,3,3,3,4,4,1,4,2,2,2,3,2,4,1,5,5,1,2,3,3,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,21,2,2,5,2,5,4,2,4,2,3,1,3,2,2,3,1,4,4,1,1,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,32,4,3,1,3,3,2,3,1,4,1,4,1,2,2,1,3,2,1,1,1,5,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,3,2,3,2,3,2,2,3,2,4,2,3,2,3,4,4,3,4,4,2,4,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,21,4,2,3,1,3,4,1,1,2,4,2,3,3,2,3,4,4,1,1,1,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,2,2,3,2,3,2,4,2,3,1,1,5,4,2,1,2,2,1,2,3,3,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,2,2,3,4,4,4,4,2,4,2,5,3,2,2,3,2,5,4,2,2,3,5,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,5,5,5,2,5,4,1,1,3,2,1,3,2,4,3,5,3,1,2,3,3,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,3,2,3,4,4,3,5,5,5,3,3,3,3,1,1,2,5,1,2,2,3,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,3,3,4,4,1,4,2,1,1,2,3,2,2,1,5,3,2,2,1,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,3,2,2,2,1,1,1,5,1,1,2,5,5,2,3,4,5,5,5,3,5,5,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,18,3,4,4,2,1,5,2,3,5,4,2,3,1,3,3,3,3,3,1,2,3,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,37,3,2,3,4,4,5,5,4,5,4,5,2,4,2,2,4,3,2,3,3,3,4,Distress (Negative Stress) - Stress that causes anxiety and impairs well-being.
0,15,2,1,3,4,3,2,1,2,1,1,1,1,2,3,2,1,3,3,2,1,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,5,3,4,3,1,2,3,3,1,2,2,2,4,3,4,5,1,1,4,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,5,4,4,4,4,2,4,2,4,3,4,4,2,1,1,4,4,1,3,4,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,3,2,1,4,3,1,1,1,3,1,2,5,3,2,3,2,1,1,4,2,1,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,2,1,5,5,5,1,5,2,5,4,3,3,1,4,3,2,3,1,2,1,1,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,2,3,1,5,1,4,2,3,1,3,2,2,1,1,1,3,3,1,2,3,1,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,4,4,2,3,2,2,2,2,1,3,3,4,4,3,4,3,2,3,2,2,5,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,4,3,2,2,2,2,5,5,2,3,1,3,1,1,1,2,3,1,2,1,1,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,2,1,3,3,3,4,2,3,2,3,2,4,2,1,3,3,3,3,2,2,2,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,22,4,4,2,2,2,1,3,2,2,1,2,1,2,5,5,2,4,2,2,5,5,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,2,1,5,3,1,2,1,1,1,1,2,4,2,3,5,4,4,3,4,1,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,2,2,1,2,3,2,4,2,3,3,1,3,2,4,5,2,4,2,1,3,3,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,2,3,4,1,2,3,3,3,3,3,2,3,1,3,2,3,4,1,2,2,1,5,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,3,3,3,3,2,5,1,4,3,2,1,3,3,4,3,4,2,2,1,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,4,3,4,2,4,4,2,2,4,4,2,3,2,1,2,1,3,2,1,3,4,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,4,4,2,2,3,1,5,1,4,3,5,1,1,4,3,2,3,3,1,4,5,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,1,3,2,5,5,5,5,1,5,5,2,4,2,2,1,2,3,1,1,2,3,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,22,2,2,3,3,1,2,5,4,5,1,5,3,3,2,2,4,2,1,1,2,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,4,4,1,3,2,2,1,2,2,3,2,1,2,5,5,2,4,4,2,3,3,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,2,3,2,1,2,5,4,2,2,2,2,3,5,3,2,2,3,1,1,2,3,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,2,1,2,2,2,2,1,4,3,3,4,3,3,2,2,2,2,2,2,2,4,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,3,4,3,2,2,3,1,1,2,2,4,1,2,4,4,4,4,2,5,2,1,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,2,3,3,5,1,1,1,1,3,1,3,3,2,3,2,4,4,2,3,2,1,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,3,3,3,1,3,4,2,4,2,3,4,4,3,4,4,4,3,2,2,3,3,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,15,4,3,2,3,2,1,2,1,1,2,4,1,2,5,4,3,3,5,1,1,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,17,4,3,5,3,1,3,3,3,2,2,2,1,2,3,2,2,5,5,4,4,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,2,2,1,4,1,1,1,5,4,1,2,4,1,3,3,2,2,5,1,1,1,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,4,2,3,3,1,1,3,1,2,2,2,3,1,3,4,1,4,5,3,3,2,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,2,2,2,4,4,3,2,2,4,3,3,3,3,3,2,1,3,2,1,5,3,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,3,2,2,2,1,3,1,1,1,3,2,1,2,2,3,4,3,5,1,1,1,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,3,4,4,2,4,3,1,3,1,2,1,1,2,4,3,1,4,3,4,1,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,3,2,2,5,4,3,1,2,3,2,3,4,1,1,1,2,5,1,2,2,1,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,28,4,5,4,3,1,1,4,5,4,2,2,1,1,4,3,2,5,1,2,1,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,1,1,1,4,3,3,1,4,3,2,1,4,4,1,1,1,1,2,3,2,2,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,1,2,1,4,1,3,4,2,2,3,1,1,1,2,2,2,4,1,2,3,1,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,2,2,5,2,5,4,3,3,4,1,1,2,1,1,1,1,3,2,2,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,3,4,3,3,2,3,1,3,1,2,3,4,2,1,5,3,5,2,2,5,5,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,3,2,2,3,1,3,3,3,4,2,4,1,2,2,3,5,3,3,4,3,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,2,2,1,3,5,3,1,3,4,3,3,1,2,3,3,3,5,2,1,2,3,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,3,3,4,3,1,2,2,2,1,1,3,1,1,5,5,4,4,1,2,1,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,4,4,4,4,4,1,2,3,2,2,3,2,3,4,2,2,3,3,2,2,4,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,21,2,3,1,5,3,3,1,3,2,2,2,2,3,2,2,2,3,2,3,3,3,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,5,5,5,4,4,4,5,3,3,4,5,3,2,5,5,5,4,3,2,3,2,2,Distress (Negative Stress) - Stress that causes anxiety and impairs well-being.
1,19,2,1,1,3,1,2,1,2,2,2,1,1,1,1,1,1,3,1,3,1,1,2,No Stress - Currently experiencing minimal to no stress.
1,17,4,3,4,4,4,4,4,4,3,4,4,3,4,3,4,4,2,4,4,3,3,3,Distress (Negative Stress) - Stress that causes anxiety and impairs well-being.
1,19,3,3,1,1,2,4,3,1,2,3,2,2,3,3,4,2,5,4,1,1,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,18,4,3,4,5,3,4,4,4,1,4,2,4,2,3,1,2,3,2,2,4,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,3,3,4,4,3,2,1,2,2,1,4,2,2,2,1,1,1,1,4,1,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,5,5,5,4,4,5,4,5,4,4,5,5,1,5,5,5,3,3,1,2,1,1,Distress (Negative Stress) - Stress that causes anxiety and impairs well-being.
0,18,2,3,1,2,1,2,2,1,4,4,4,1,5,3,2,2,2,2,4,2,5,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,4,3,5,4,3,4,3,2,5,3,3,2,1,3,4,4,3,1,1,1,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,2,3,2,1,1,1,3,4,2,4,3,2,4,1,3,3,3,3,3,1,1,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,3,2,3,4,2,3,4,4,4,5,2,3,4,2,3,3,3,5,4,1,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,3,2,1,1,1,1,1,2,2,3,2,1,1,2,2,4,4,3,2,4,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,2,1,3,2,1,4,3,2,3,3,2,4,3,2,2,3,1,3,2,1,1,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,2,2,5,3,4,3,1,4,3,3,3,4,1,2,1,1,2,3,3,1,5,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,3,2,2,4,2,1,2,2,4,3,3,1,2,1,1,3,3,2,1,1,1,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,2,1,5,3,2,3,1,4,3,4,3,2,2,3,2,1,1,1,2,2,4,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,2,2,5,5,4,2,1,4,5,5,2,2,1,3,1,1,3,3,2,2,3,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,3,4,5,1,3,3,4,3,1,4,2,3,5,2,3,3,2,4,4,3,4,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,24,2,3,1,2,1,2,2,4,3,3,5,2,1,1,4,5,5,2,2,1,1,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,3,4,4,2,3,5,2,4,2,4,3,3,4,4,2,2,1,4,4,3,4,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,21,1,2,1,2,3,3,4,1,3,1,2,2,3,3,2,2,2,4,3,2,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,2,1,2,1,2,1,2,2,5,2,1,4,2,3,5,4,4,4,4,3,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,3,2,1,1,1,1,2,4,1,4,1,2,1,2,1,1,1,2,1,2,3,2,No Stress - Currently experiencing minimal to no stress.
1,20,2,2,2,3,3,2,2,5,3,4,1,4,4,1,3,3,4,5,4,5,4,5,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,3,4,2,3,3,3,3,1,2,2,2,4,2,5,3,2,2,2,4,1,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,2,3,3,2,2,3,2,5,3,4,2,5,3,1,1,4,2,4,3,2,3,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,1,1,1,1,2,1,3,5,1,1,2,2,3,2,1,1,1,1,3,2,1,2,No Stress - Currently experiencing minimal to no stress.
0,19,2,1,3,4,3,3,4,4,4,4,4,4,4,1,1,1,4,3,2,2,2,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,17,3,2,2,1,2,1,1,1,1,1,3,2,1,1,1,2,4,1,1,3,1,5,No Stress - Currently experiencing minimal to no stress.
0,17,3,3,1,3,2,2,1,2,3,2,1,3,3,1,1,2,3,4,2,1,1,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,3,3,1,1,1,1,4,2,5,3,1,3,1,1,1,3,5,3,3,1,4,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,3,3,1,1,1,2,3,4,1,4,1,4,2,2,4,5,4,1,2,4,2,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,3,3,4,3,3,1,3,3,2,4,3,2,1,1,1,1,5,3,2,1,4,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,4,2,1,3,2,4,1,3,1,3,2,4,4,1,1,1,5,3,4,1,3,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,3,2,4,3,2,2,1,3,3,1,4,2,2,1,5,5,4,3,2,1,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,18,3,3,4,3,1,2,4,4,2,3,3,4,2,2,2,2,4,4,4,2,3,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,3,3,1,1,1,4,1,5,5,2,1,4,4,1,2,3,2,5,4,1,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,2,3,3,3,4,3,4,4,4,3,2,3,3,3,1,2,4,4,3,2,3,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,3,3,1,3,1,1,1,3,2,2,2,4,1,5,2,1,4,3,4,1,2,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,2,3,2,5,2,3,1,4,3,5,3,4,3,2,5,4,5,4,4,2,5,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,2,3,2,3,2,3,4,1,3,3,3,1,3,4,3,3,4,1,1,3,3,3,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,2,2,1,3,2,1,1,5,3,2,2,2,1,1,1,3,4,5,2,1,2,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,5,2,5,3,2,1,1,4,3,1,3,4,1,1,1,5,1,4,4,1,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,2,3,1,2,1,3,1,4,2,2,1,5,3,2,2,1,2,4,5,4,2,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,1,1,4,1,3,3,2,2,3,3,1,1,3,1,1,1,1,2,1,1,3,1,No Stress - Currently experiencing minimal to no stress.
0,19,3,4,3,3,3,2,2,4,3,3,4,5,2,2,3,2,4,4,5,2,3,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,3,2,4,4,2,2,3,1,3,1,1,5,2,5,2,3,2,1,5,2,1,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,21,4,2,1,2,1,3,1,4,2,3,2,4,3,2,3,2,2,4,4,2,3,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,3,2,4,4,4,2,3,1,4,1,2,1,2,3,2,3,2,1,1,2,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,24,3,2,2,4,1,2,2,2,1,2,2,2,2,1,1,2,4,2,2,1,2,5,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,3,2,3,4,1,1,1,3,4,1,1,2,1,4,3,3,3,3,2,3,1,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,2,3,3,2,2,1,3,4,2,2,2,4,1,3,2,2,4,4,4,3,2,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,3,4,5,1,3,1,3,2,3,4,1,3,2,3,3,4,3,1,2,3,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,2,2,1,2,2,2,4,5,3,1,3,5,2,1,1,1,3,5,5,1,1,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,20,2,2,3,4,3,2,3,1,2,2,3,2,2,3,4,3,3,1,2,1,2,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,3,4,1,2,1,1,2,2,1,3,2,1,1,4,1,2,2,2,1,1,5,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,18,3,4,2,1,5,1,3,2,2,1,1,5,1,5,5,3,4,2,5,4,1,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,4,3,3,5,3,4,3,2,4,2,2,2,4,5,3,1,3,2,2,3,2,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
0,19,2,2,5,5,2,1,1,1,1,1,3,2,1,1,2,4,3,1,2,4,1,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,3,3,5,1,1,2,1,3,2,2,1,2,2,2,5,2,4,3,2,4,2,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,1,2,5,3,2,2,3,2,2,5,3,2,2,3,3,3,4,2,2,3,5,1,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,2,2,3,2,3,2,3,3,3,2,2,4,2,5,4,1,3,3,4,2,2,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,4,2,3,5,3,2,2,2,2,3,3,1,2,2,3,5,3,2,1,2,3,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,20,3,2,2,2,1,1,2,1,3,1,2,2,1,1,5,4,4,1,2,1,1,2,No Stress - Currently experiencing minimal to no stress.
1,20,1,1,2,1,3,3,3,3,4,4,3,2,3,1,1,4,4,3,2,1,4,2,Eustress (Positive Stress) - Stress that motivates and enhances performance.
1,19,3,4,3,5,1,3,1,2,1,3,1,3,3,3,3,3,3,2,3,4,3,4,Eustress (Positive Stress) - Stress that motivates and enhances performance.
